budget_year,account_type,department,fund_code,account_category,bu_description,amount
FY16-17,Expense,Administrative,10101,Transfer Guaranteed Pension,,5157946
FY16-17,Expense,Administrative,10101,Transfer Guaranteed Pension,,5244354
FY16-17,Expense,Administrative,10101,Employer Group Health,,45230131
FY16-17,Expense,Administrative,10101,Employer Dental Group,,2610951
FY16-17,Expense,Administrative,10101,Transfer Operational,,200000
FY16-17,Expense,Administrative,10101,Transfer IOD Pensioner,,10165400
FY16-17,Expense,Administrative,10101,Insurance-Unemployment Comp,,105200
FY16-17,Expense,Administrative,10101,Employer Group Life,,2922833
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,320200
FY16-17,Expense,Administrative,10101,IDB-Industrial Development Bd,,-151000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,562500
FY16-17,Expense,Administrative,10101,Transfer IOD Employee,,8198200
FY16-17,Expense,Administrative,10101,Recording,,872
FY16-17,Expense,Administrative,10101,Rent Building & Land,,355663
FY16-17,Expense,Administrative,10101,Management Consultant,,167
FY16-17,Expense,Administrative,10101,IDB-Industrial Development Bd,,0
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,Transfer Operational,,0
FY16-17,Expense,Administrative,10101,Transfer Operational,,0
FY16-17,Expense,Administrative,10101,MTA,,0
FY16-17,Expense,Administrative,10101,Fringe Benefits,,0
FY16-17,Expense,Administrative,10101,Employer Group Health,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,0
FY16-17,Expense,Administrative,10101,Employer Pension,,37164
FY16-17,Expense,Administrative,10101,Telecmmnct'n Charge,,0
FY16-17,Expense,Administrative,10101,Building Relocation,,0
FY16-17,Expense,Administrative,10101,Transfer Operational,,4304000
FY16-17,Expense,Administrative,10101,Transfer Operational,,231376
FY16-17,Expense,Administrative,10101,Transfer Operational,,1794000
FY16-17,Expense,Administrative,10101,SPA,,5851500
FY16-17,Expense,Administrative,10101,SPA,,1000000
FY16-17,Expense,Administrative,10101,Awrd Rwrd Royalty,,0
FY16-17,Expense,Administrative,10101,Transfer Stadium Debt,,3200000
FY16-17,Expense,Administrative,10101,Management Consultant,,39318
FY16-17,Expense,Administrative,10101,Stormwater,,3062
FY16-17,Expense,Administrative,10101,Transfer Operational,,0
FY16-17,Expense,Administrative,10101,Transfer Farm Mkt Subsidy,,837900
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,1500000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,450000
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,49725
FY16-17,Expense,Administrative,10101,Insurance-Buildings,,670200
FY16-17,Expense,Administrative,10101,Insurance-Liab/PropDmg,,1429400
FY16-17,Expense,Administrative,10101,Insurance-Premium J&L,,0
FY16-17,Expense,Administrative,10101,Insurance-Surety Bond,,0
FY16-17,Expense,Administrative,10101,Management Consultant,,72000
FY16-17,Expense,Administrative,10101,Membership Dues,,368826
FY16-17,Expense,Administrative,10101,Contribute/Grant Agency,,0
FY16-17,Expense,Administrative,10101,MTA,,40158600
FY16-17,Expense,Administrative,10101,Insurance-Premium J&L,,1360100
FY16-17,Expense,Administrative,10101,Longevity,,0
FY16-17,Expense,Administrative,10101,Pay Plan Improvement,,0
FY16-17,Expense,Administrative,10101,Cntribute/Grant Person,,2595320
FY16-17,Expense,Administrative,10101,Employee Travel,,0
FY16-17,Expense,Administrative,10101,Employee Out-of-town Travel,,0
FY16-17,Expense,Administrative,10101,Employee Air Travel,,0
FY16-17,Expense,Administrative,10101,Registration,,0
FY16-17,Expense,Administrative,10101,Accounting Service,,894162
FY16-17,Expense,Administrative,10101,Management Consultant,,116029
FY16-17,Expense,Administrative,10101,Auditing Service,,0
FY16-17,Expense,Administrative,10101,Pre-Employment Checks,,0
